model_name,biomarker_set,accuracy,precision,recall,f1,AUC
decision_tree,ponti,0.9067567567567568,0.8966233766233765,0.9334243697478991,0.9124906216557761,0.9164994270435448
logistic_regression,ponti,0.9262012012012011,0.9237670155781611,0.9323033286541161,0.9219269070207007,0.9863164050431852
neural_network,ponti,0.9536786786786786,0.9302183153963339,0.9780357757137942,0.9531058914642696,0.9547476311098603
xgboost,ponti,0.9288288288288289,0.9142233424470266,0.9368796992481203,0.9206555916424337,0.9750686422374235
knn,ponti,0.9209459459459459,0.9200877192982457,0.910495644706171,0.9162143710303041,0.9806854480229091
decision_tree,semiz,0.9151651651651653,0.9013095852376036,0.9214643065464172,0.9066048923939037,0.9508713962145418
logistic_regression,semiz,0.942942942942943,0.9393726741095163,0.9472198737794713,0.9314814650580179,0.9888034840415714
neural_network,semiz,0.9808558558558558,0.9657380952380953,1.0,0.9821622814190235,0.9793557422969188
xgboost,semiz,0.9506756756756756,0.9224709899215217,0.9627838827838827,0.9383526290392684,0.9884306433160923
knn,semiz,0.928978978978979,0.9357332597070449,0.9190592903828199,0.9159058006076719,0.9766303488178488
decision_tree,zhao,0.9372372372372372,0.9160363471424853,0.9441061893865097,0.9276327197119734,0.94717758677511
logistic_regression,zhao,0.9509759759759758,0.9252852049910875,0.9623319327731092,0.9479295539811213,0.9907191262469899
neural_network,zhao,0.9726726726726728,0.9472635800731777,1.0,0.9717273117273117,0.9733610681114552
xgboost,zhao,0.9454204204204203,0.9240629326813539,0.9657738095238095,0.9531264107126176,0.9860648864809083
knn,zhao,0.9561561561561561,0.9354932451449478,0.9719444444444445,0.9467115849169868,0.9874169369016588
decision_tree,ponti,0.9045045045045045,0.881775612158739,0.922898523045582,0.9208867959797795,0.9225451693129711
logistic_regression,ponti,0.9262012012012011,0.9230654845670326,0.9273738907291538,0.9214031682052694,0.9838809633540025
neural_network,ponti,0.962012012012012,0.9385730368702504,0.9846825396825396,0.9600843284556897,0.9644004097561105
xgboost,ponti,0.9317567567567566,0.9207770987182752,0.9616865079365079,0.9275776772930474,0.9760327868964349
knn,ponti,0.9124624624624624,0.9215182186234818,0.9011033514129491,0.9083040134774949,0.9773033994299475
decision_tree,semiz,0.9343843843843842,0.8873015873015874,0.9027521008403362,0.9364316270924997,0.9262623768989868
logistic_regression,semiz,0.9397147147147148,0.9231272180878454,0.9473504784688995,0.9342167843438262,0.9863843568987474
neural_network,semiz,0.9755255255255253,0.963641456582633,0.9833333333333334,0.971987312514696,0.9775361699703804
xgboost,semiz,0.9533033033033034,0.9352491076175287,0.96735347985348,0.9528702900163131,0.9860903100298544
knn,semiz,0.9121621621621621,0.9331356143856144,0.8824036567148023,0.8964370705694236,0.9830019993443948
decision_tree,zhao,0.9371621621621621,0.9177816851378232,0.9442711558307533,0.9376724575342965,0.9579841160805961
logistic_regression,zhao,0.948048048048048,0.9368184554523564,0.9728778677462888,0.9533394227763807,0.9866350144523519
neural_network,zhao,0.9668918918918917,0.947296298902336,0.9861904761904763,0.9647810095377514,0.967105497701473
xgboost,zhao,0.9455705705705706,0.9280691311612366,0.9774749373433582,0.9472807747807748,0.9859593558316468
knn,zhao,0.9562312312312311,0.9383290892114422,0.9797698209718669,0.949936822964132,0.9840621921919034
decision_tree,ponti,0.9152402402402402,0.8806883016364442,0.9340461981894208,0.9046003084136958,0.9150002340579807
logistic_regression,ponti,0.928978978978979,0.9295095796875982,0.9218903220102911,0.9280834443334444,0.985361699703805
neural_network,ponti,0.9673423423423422,0.9468431731667026,0.9841269841269842,0.9643287545787546,0.9697878255421161
