model_name,biomarker_set,accuracy,precision,recall,f1,AUC,TP,FP,TN,FN
decision_tree,ponti,0.907103825136612,0.8888888888888888,0.9195402298850575,0.903954802259887,0.9089076064114764,160,20,172,14
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.985087571097633,161,13,179,13
neural_network,ponti,0.97012012012012,0.9564253393665159,0.9857843137254901,0.9706436896436896,0.9702904924452911,171,8,184,3
xgboost,ponti,0.9316939890710383,0.9257142857142857,0.9310344827586207,0.9283667621776505,0.9793506036671333,162,13,179,12
knn,ponti,0.9153005464480874,0.9181286549707602,0.9022988505747126,0.9101449275362319,0.9755272307461574,157,14,178,17
decision_tree,semiz,0.9262295081967213,0.8972972972972973,0.9540229885057471,0.9247910863509748,0.9591123709026984,166,19,173,8
logistic_regression,semiz,0.9398907103825137,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.9853471265898704,165,13,179,9
neural_network,semiz,0.978078078078078,0.9665840695252461,0.9882352941176471,0.9764235297223103,0.978110294117647,172,6,186,2
xgboost,semiz,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9866512922865562,168,12,180,6
knn,semiz,0.9316939890710383,0.9408284023668639,0.9137931034482759,0.9271137026239068,0.9784193690651491,159,10,182,15
decision_tree,zhao,0.9398907103825137,0.9130434782608695,0.9655172413793104,0.9385474860335196,0.9533831521739131,168,16,176,6
logistic_regression,zhao,0.9480874316939891,0.9281767955801105,0.9655172413793104,0.9464788732394367,0.9888105485476558,168,13,179,6
neural_network,zhao,0.9726726726726727,0.9589223057644111,0.9880701754385963,0.9721548077897951,0.9728055432699396,172,8,184,2
xgboost,zhao,0.9508196721311475,0.9239130434782609,0.9770114942528736,0.9497206703910613,0.9817146887662561,170,14,178,4
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9913742410839934,170,12,180,4
decision_tree,ponti,0.9153005464480874,0.8994413407821229,0.9252873563218391,0.9121813031161473,0.8992564089032742,161,18,174,13
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9843603583864724,161,13,179,13
neural_network,ponti,0.9482732732732732,0.9336041083099907,0.9634020657704868,0.9461724725139359,0.9514992990643314,167,12,180,7
xgboost,ponti,0.9316939890710383,0.9162011173184358,0.9425287356321839,0.9291784702549574,0.9769741629536016,164,15,177,10
knn,ponti,0.9153005464480874,0.9181286549707602,0.9022988505747126,0.9101449275362319,0.9702796362806962,157,14,178,17
decision_tree,semiz,0.9180327868852459,0.9,0.9310344827586207,0.9152542372881356,0.9536119904427007,162,18,174,12
logistic_regression,semiz,0.9426229508196722,0.9322033898305084,0.9482758620689655,0.94017094017094,0.9897439609742957,165,12,180,9
neural_network,semiz,0.9781531531531531,0.961106719367589,0.9949999999999999,0.9773648744971531,0.9783375009922997,173,7,185,1
xgboost,semiz,0.9371584699453552,0.9314285714285714,0.9367816091954023,0.9340974212034384,0.9888753659705335,163,12,180,11
knn,semiz,0.9234972677595629,0.9345238095238095,0.9022988505747126,0.9181286549707602,0.9729348337906691,157,11,181,17
decision_tree,zhao,0.9426229508196722,0.9135135135135135,0.9712643678160919,0.9415041782729805,0.9517566049580649,169,16,176,5
logistic_regression,zhao,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9899848027415669,169,11,181,5
neural_network,zhao,0.9593843843843844,0.9466826625386997,0.9752236842105264,0.9603756066608359,0.9593073688007898,169,10,182,5
xgboost,zhao,0.9480874316939891,0.9234972677595629,0.9712643678160919,0.9467787114845938,0.9895621376667784,169,14,178,5
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9885708598200604,170,12,180,4
decision_tree,ponti,0.9153005464480874,0.8950276243093923,0.9310344827586207,0.9126760563380282,0.9298339212293817,162,19,173,12
logistic_regression,ponti,0.9262295081967213,0.9248554913294798,0.9195402298850575,0.9221902017291066,0.9810947415503461,160,13,179,14
neural_network,ponti,0.9512762762762762,0.9473575242453961,0.9598039215686274,0.9509168717563501,0.9495323787409701,167,11,181,7
xgboost,ponti,0.912568306010929,0.9127906976744186,0.9022988505747126,0.907514450867052,0.97785921006477,157,15,177,17
knn,ponti,0.9207650273224044,0.9239766081871345,0.9080459770114943,0.9159420289855073,0.9721936936945687,158,13,179,16
decision_tree,semiz,0.9316939890710383,0.907103825136612,0.9540229885057471,0.9299719887955182,0.9282259723222015,166,17,175,8
logistic_regression,semiz,0.9398907103825137,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.9873177010038466,165,13,179,9
neural_network,semiz,0.959009009009009,0.9556349206349207,0.9513784461152882,0.9491713945885962,0.9546376664700968,167,8,184,7
xgboost,semiz,0.953551912568306,0.9337016574585635,0.9712643678160919,0.952112676056338,0.9899156347639486,169,12,180,5
knn,semiz,0.9153005464480874,0.9281437125748503,0.8908045977011494,0.909090909090909,0.9795147113426268,155,12,180,19
decision_tree,zhao,0.9426229508196722,0.9273743016759777,0.9540229885057471,0.9405099150141643,0.9531189068069873,166,13,179,8
logistic_regression,zhao,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9865560823765158,168,12,180,6
neural_network,zhao,0.9728228228228228,0.9517294796706561,0.9960000000000001,0.972617022658709,0.974231684981685,173,9,183,1
xgboost,zhao,0.9453551912568307,0.9184782608695652,0.9712643678160919,0.9441340782122905,0.983231368770262,169,15,177,5
knn,zhao,0.9590163934426229,0.9344262295081968,0.9827586206896551,0.9579831932773109,0.9893796370039668,171,12,180,3
decision_tree,ponti,0.9207650273224044,0.8961748633879781,0.9425287356321839,0.9187675070028011,0.9021749836206624,164,19,173,10
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9840790882523873,161,13,179,13
neural_network,ponti,0.953978978978979,0.9469590643274854,0.9600146198830408,0.9519722047818023,0.9527579672219766,167,10,182,7
xgboost,ponti,0.9344262295081968,0.9120879120879121,0.9540229885057471,0.9325842696629213,0.981759366986101,166,16,176,8
knn,ponti,0.9180327868852459,0.9235294117647059,0.9022988505747126,0.9127906976744186,0.9747499616415352,157,13,179,17
decision_tree,semiz,0.9180327868852459,0.9,0.9310344827586207,0.9152542372881356,0.9487491663238246,162,18,174,12
logistic_regression,semiz,0.9398907103825137,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.988037221082992,165,13,179,9
neural_network,semiz,0.9835585585585586,0.9665735653235654,1.0,0.9827862641624299,0.9835063343519226,174,6,186,0
xgboost,semiz,0.953551912568306,0.9385474860335196,0.9655172413793104,0.9518413597733711,0.9917595010795361,168,11,181,6
knn,semiz,0.9153005464480874,0.9181286549707602,0.9022988505747126,0.9101449275362319,0.9758378759863862,157,14,178,17
decision_tree,zhao,0.9371584699453552,0.9171270718232044,0.9540229885057471,0.9352112676056338,0.9445680858695173,166,15,177,8
logistic_regression,zhao,0.953551912568306,0.9385474860335196,0.9655172413793104,0.9518413597733711,0.9872245851395132,168,11,181,6
neural_network,zhao,0.9727477477477479,0.9610357757137942,0.9891176470588234,0.9743219699227209,0.9713544891640866,172,8,184,2
xgboost,zhao,0.9398907103825137,0.9130434782608695,0.9655172413793104,0.9385474860335196,0.9818400627794978,168,16,176,6
knn,zhao,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9913820566741132,169,11,181,5
decision_tree,ponti,0.9234972677595629,0.9010989010989011,0.9425287356321839,0.9213483146067416,0.9175901074375521,164,18,174,10
logistic_regression,ponti,0.9262295081967213,0.92,0.9252873563218391,0.9226361031518626,0.9846820665681927,161,14,178,13
neural_network,ponti,0.962087087087087,0.9454898114852348,0.9632236842105264,0.9531742512230317,0.9590093288777499,169,9,183,5
xgboost,ponti,0.9316939890710383,0.9162011173184358,0.9425287356321839,0.9291784702549574,0.9787342508538162,164,15,177,10
